"playerID","yearID","stint","teamID","lgID","G.x","AB.x","R.x","H.x","X2B.x","X3B.x","HR.x","RBI.x","SB.x","CS.x","BB.x","SO.x","IBB.x","HBP.x","SH.x","SF.x","GIDP.x","P_RC2002","P_OPS"
1989,1960,1,106,0,122,438,48,114,17,5,23,83,0,0,39,107,5,0,1,5,15,0.0285000000000011,0.3
2033,1960,1,93,1,35,49,1,6,1,0,0,1,0,0,1,18,0,0,7,0,2,-0.210666666666667,0
2087,1960,1,93,1,34,55,4,4,1,0,0,1,0,0,2,18,0,0,2,0,0,0.325022222222222,0.5
2130,1960,1,106,0,120,409,60,108,16,9,8,40,8,2,40,44,2,0,0,5,4,2.84651851851851,0.611
129,1961,1,38,0,103,235,27,60,10,1,3,33,1,1,18,21,3,0,0,9,4,-0.3,0
151,1961,1,93,1,119,395,62,107,11,0,22,61,2,0,35,28,4,2,0,5,7,3.34155555555556,1.045
175,1961,1,93,1,93,243,38,74,10,1,21,54,1,0,27,28,9,4,0,1,6,4.338,1.6
178,1961,2,38,0,123,450,59,100,18,4,1,21,4,3,39,38,0,2,9,2,7,-0.0473968253968255,0.286
214,1961,1,93,1,148,504,61,113,19,5,11,55,1,3,63,83,4,2,1,8,13,2.50964912280702,0.821
319,1961,1,38,0,74,198,23,61,18,1,5,24,1,0,15,39,1,0,1,2,5,0.534444444444444,1
356,1961,1,38,0,61,132,26,35,4,2,2,5,1,4,21,22,0,2,3,0,0,1.22471794871795,0.558
392,1961,1,93,1,43,35,1,1,0,0,0,0,0,0,1,21,0,1,8,0,0,-0.110666666666667,0
399,1961,1,38,0,150,520,63,149,27,4,26,87,1,3,45,67,11,2,4,7,9,2.22538888888889,0.65
465,1961,2,93,1,23,45,3,6,1,0,0,2,0,0,1,1,0,0,2,0,0,-0.0376000000000003,0
